	V1	error	rep	config	gwas_size	test_size	L	type
292	4	0.0108313708631851	B7	C1	1000	1000	10000	FGr
293	5	0.0993169810752379	B7	C1	1000	10000	1000	FGr
294	6	0.0102957946398643	B7	C1	1000	10000	10000	FGr
295	7	0.194064655493367	B7	C1	10000	100	1000	FGr
296	8	0.0227638746634966	B7	C1	10000	100	10000	FGr
297	9	0.104405017359669	B7	C1	10000	1000	1000	FGr
298	10	0.0124234478813127	B7	C1	10000	1000	10000	FGr
299	11	0.0929314151357108	B7	C1	10000	10000	1000	FGr
300	12	0.0112328224047394	B7	C1	10000	10000	10000	FGr
301	13	0.999842233606888	B7	C2	1000	100	1000	FGr
302	14	0.997444032399203	B7	C2	1000	100	10000	FGr
303	15	0.998568926398985	B7	C2	1000	1000	1000	FGr
304	16	0.996325448712093	B7	C2	1000	1000	10000	FGr
305	17	0.999305986361823	B7	C2	1000	10000	1000	FGr
306	18	0.996573193983922	B7	C2	1000	10000	10000	FGr
307	19	0.999989991126713	B7	C2	10000	100	1000	FGr
308	20	0.999998747738929	B7	C2	10000	100	10000	FGr
309	21	0.999961828992285	B7	C2	10000	1000	1000	FGr
310	22	0.999963298691101	B7	C2	10000	1000	10000	FGr
311	23	0.999854286443955	B7	C2	10000	10000	1000	FGr
312	24	0.999999313831503	B7	C2	10000	10000	10000	FGr
313	25	0.109458861756867	B7	C1	1000	100	1000	PC1
314	26	0.0129051754201612	B7	C1	1000	100	10000	PC1
315	27	0.115497984704467	B7	C1	1000	1000	1000	PC1
316	28	0.0112770354886633	B7	C1	1000	1000	10000	PC1
317	29	0.113132419196397	B7	C1	1000	10000	1000	PC1
318	30	0.0112479305041279	B7	C1	1000	10000	10000	PC1
319	31	0.101903729152435	B7	C1	10000	100	1000	PC1
320	32	0.0109576891318951	B7	C1	10000	100	10000	PC1
321	33	0.0975741905574793	B7	C1	10000	1000	1000	PC1
322	34	0.0112457548071713	B7	C1	10000	1000	10000	PC1
323	35	0.0934226944199575	B7	C1	10000	10000	1000	PC1
324	36	0.0112118961665196	B7	C1	10000	10000	10000	PC1
325	37	0.999600202213307	B7	C2	1000	100	1000	PC1
326	38	0.997988399679308	B7	C2	1000	100	10000	PC1
327	39	0.994546157609462	B7	C2	1000	1000	1000	PC1
328	40	0.999186679555479	B7	C2	1000	1000	10000	PC1
329	41	0.999888466210722	B7	C2	1000	10000	1000	PC1
330	42	0.998506886685288	B7	C2	1000	10000	10000	PC1
331	43	0.999987068275771	B7	C2	10000	100	1000	PC1
332	44	0.999995637006525	B7	C2	10000	100	10000	PC1
333	45	0.999909387435545	B7	C2	10000	1000	1000	PC1
334	46	0.999806348718832	B7	C2	10000	1000	10000	PC1
335	47	0.99999444841931	B7	C2	10000	10000	1000	PC1
336	48	0.999999837283251	B7	C2	10000	10000	10000	PC1
337	1	0.19940909887748	B8	C1	1000	100	1000	FGr
338	2	0.0227729914021616	B8	C1	1000	100	10000	FGr
339	3	0.114325075903285	B8	C1	1000	1000	1000	FGr
340	4	0.0119815247345654	B8	C1	1000	1000	10000	FGr
341	5	0.0998729356499569	B8	C1	1000	10000	1000	FGr
342	6	0.0119981468802407	B8	C1	1000	10000	10000	FGr
343	7	0.189216732520205	B8	C1	10000	100	1000	FGr
344	8	0.0234411184662499	B8	C1	10000	100	10000	FGr
345	9	0.106893642082969	B8	C1	10000	1000	1000	FGr
346	10	0.0124777547864876	B8	C1	10000	1000	10000	FGr
347	11	0.105946877609663	B8	C1	10000	10000	1000	FGr
348	12	0.0113804123479294	B8	C1	10000	10000	10000	FGr
349	13	0.999706320321105	B8	C2	1000	100	1000	FGr
350	14	0.999985957157258	B8	C2	1000	100	10000	FGr
351	15	0.999580431878698	B8	C2	1000	1000	1000	FGr
352	16	0.998413447165986	B8	C2	1000	1000	10000	FGr
353	17	0.999995253030552	B8	C2	1000	10000	1000	FGr
354	18	0.999196567152263	B8	C2	1000	10000	10000	FGr
355	19	0.999036342254045	B8	C2	10000	100	1000	FGr
356	20	0.999683914783087	B8	C2	10000	100	10000	FGr
357	21	0.999999945753432	B8	C2	10000	1000	1000	FGr
358	22	0.999983531976008	B8	C2	10000	1000	10000	FGr
359	23	0.999983589126016	B8	C2	10000	10000	1000	FGr
360	24	0.999818729339586	B8	C2	10000	10000	10000	FGr
361	25	0.121557051019861	B8	C1	1000	100	1000	PC1
362	26	0.0126514393820497	B8	C1	1000	100	10000	PC1
363	27	0.113602184816705	B8	C1	1000	1000	1000	PC1
364	28	0.0120677186612719	B8	C1	1000	1000	10000	PC1
365	29	0.113458138649625	B8	C1	1000	10000	1000	PC1
366	30	0.0128820472449595	B8	C1	1000	10000	10000	PC1
367	31	0.100604724048447	B8	C1	10000	100	1000	PC1
368	32	0.0111063844755739	B8	C1	10000	100	10000	PC1
369	33	0.0980509744250623	B8	C1	10000	1000	1000	PC1
370	34	0.0111906007226366	B8	C1	10000	1000	10000	PC1
371	35	0.105570240188635	B8	C1	10000	10000	1000	PC1
372	36	0.0114023511749405	B8	C1	10000	10000	10000	PC1
373	37	0.999999350978429	B8	C2	1000	100	1000	PC1
374	38	0.998122507127001	B8	C2	1000	100	10000	PC1
375	39	0.99995091123711	B8	C2	1000	1000	1000	PC1
376	40	0.999348867020461	B8	C2	1000	1000	10000	PC1
377	41	0.9976436689497	B8	C2	1000	10000	1000	PC1
378	42	0.997498266666127	B8	C2	1000	10000	10000	PC1
379	43	0.999994762532145	B8	C2	10000	100	1000	PC1
380	44	0.999822732487547	B8	C2	10000	100	10000	PC1
381	45	0.999764743837108	B8	C2	10000	1000	1000	PC1
382	46	0.999971205317858	B8	C2	10000	1000	10000	PC1
383	47	0.999974102928702	B8	C2	10000	10000	1000	PC1
384	48	0.999979376750252	B8	C2	10000	10000	10000	PC1
385	1	0.212279356195803	B9	C1	1000	100	1000	FGr
386	2	0.0227460621482279	B9	C1	1000	100	10000	FGr
387	3	0.0994873355703049	B9	C1	1000	1000	1000	FGr
388	4	0.012755953083093	B9	C1	1000	1000	10000	FGr
389	5	0.0952349883936702	B9	C1	1000	10000	1000	FGr
390	6	0.01057200736857	B9	C1	1000	10000	10000	FGr
391	7	0.181244601337744	B9	C1	10000	100	1000	FGr
392	8	0.0221988580031341	B9	C1	10000	100	10000	FGr
393	9	0.102741227843272	B9	C1	10000	1000	1000	FGr
394	10	0.012434124681592	B9	C1	10000	1000	10000	FGr
395	11	0.099346950644235	B9	C1	10000	10000	1000	FGr
396	12	0.0108338689031676	B9	C1	10000	10000	10000	FGr
397	13	0.998506474462008	B9	C2	1000	100	1000	FGr
398	14	0.999088825830837	B9	C2	1000	100	10000	FGr
399	15	0.999998209293358	B9	C2	1000	1000	1000	FGr
400	16	0.998963545676471	B9	C2	1000	1000	10000	FGr
401	17	0.999453585932364	B9	C2	1000	10000	1000	FGr
402	18	0.998659974407364	B9	C2	1000	10000	10000	FGr
403	19	0.999983343970223	B9	C2	10000	100	1000	FGr
404	20	0.999862958110828	B9	C2	10000	100	10000	FGr
405	21	0.999982503427178	B9	C2	10000	1000	1000	FGr
406	22	0.999954077024066	B9	C2	10000	1000	10000	FGr
407	23	0.999989609611159	B9	C2	10000	10000	1000	FGr
408	24	0.999936743740461	B9	C2	10000	10000	10000	FGr
409	25	0.121435570478761	B9	C1	1000	100	1000	PC1
410	26	0.0119617217895199	B9	C1	1000	100	10000	PC1
411	27	0.103757139952757	B9	C1	1000	1000	1000	PC1
412	28	0.0131656619198537	B9	C1	1000	1000	10000	PC1
413	29	0.0981229376111351	B9	C1	1000	10000	1000	PC1
414	30	0.0116784893439732	B9	C1	1000	10000	10000	PC1
415	31	0.101444012550839	B9	C1	10000	100	1000	PC1
416	32	0.0110513332890104	B9	C1	10000	100	10000	PC1
417	33	0.0954745921289848	B9	C1	10000	1000	1000	PC1
418	34	0.011270073631231	B9	C1	10000	1000	10000	PC1
419	35	0.0996974391099398	B9	C1	10000	10000	1000	PC1
420	36	0.0107944237035319	B9	C1	10000	10000	10000	PC1
421	37	0.999848771899963	B9	C2	1000	100	1000	PC1
422	38	0.999134370224715	B9	C2	1000	100	10000	PC1
423	39	0.999612166010856	B9	C2	1000	1000	1000	PC1
424	40	0.999859575825347	B9	C2	1000	1000	10000	PC1
425	41	0.999471384305841	B9	C2	1000	10000	1000	PC1
426	42	0.999555733180143	B9	C2	1000	10000	10000	PC1
427	43	0.999783475730003	B9	C2	10000	100	1000	PC1
428	44	0.999935602589176	B9	C2	10000	100	10000	PC1
429	45	0.999935985494578	B9	C2	10000	1000	1000	PC1
430	46	0.999999263008649	B9	C2	10000	1000	10000	PC1
431	47	0.999512437823878	B9	C2	10000	10000	1000	PC1
432	48	0.999788210851678	B9	C2	10000	10000	10000	PC1
433	1	0.215345451975377	B10	C1	1000	100	1000	FGr
434	2	0.0213200930049542	B10	C1	1000	100	10000	FGr
435	3	0.111816878401212	B10	C1	1000	1000	1000	FGr
436	4	0.0117369641481699	B10	C1	1000	1000	10000	FGr
437	5	0.110116032145303	B10	C1	1000	10000	1000	FGr
438	6	0.0101222058622747	B10	C1	1000	10000	10000	FGr
439	7	0.194994681740839	B10	C1	10000	100	1000	FGr
440	8	0.0228684398762529	B10	C1	10000	100	10000	FGr
441	9	0.12013667460214	B10	C1	10000	1000	1000	FGr
442	10	0.0122112692553515	B10	C1	10000	1000	10000	FGr
443	11	0.0972095103157881	B10	C1	10000	10000	1000	FGr
444	12	0.0110304777112938	B10	C1	10000	10000	10000	FGr
445	13	0.998686894825275	B10	C2	1000	100	1000	FGr
446	14	0.999673711745863	B10	C2	1000	100	10000	FGr
447	15	0.999983863982328	B10	C2	1000	1000	1000	FGr
